zone,borough,trip_count
Upper East Side South,Manhattan,9355
Midtown Center,Manhattan,8636
Upper East Side North,Manhattan,8159
JFK Airport,Queens,7950
Penn Station/Madison Sq West,Manhattan,6296
Midtown East,Manhattan,6226
Times Sq/Theatre District,Manhattan,6007
Lincoln Square East,Manhattan,5998
Upper West Side South,Manhattan,5214
Union Sq,Manhattan,5182
LaGuardia Airport,Queens,5133
Midtown North,Manhattan,5121
East Village,Manhattan,5112
Murray Hill,Manhattan,5080
East Chelsea,Manhattan,4908
Clinton East,Manhattan,4568
Lenox Hill West,Manhattan,4393
Midtown South,Manhattan,4258
West Village,Manhattan,4217
Gramercy,Manhattan,3810
